Region,Year,TotalTourists,ForeignTourists,HousesWithInternet%,CompaniesWithWebSites%,AmountOfPeopleWithHighEducation,PeopleWithHighEducationWithoutJob,AmountOfPeopleWithSecondaryEducation,PeopleWithSecondaryEducationWithoutJob,AmountOfPeopleWithoutEducation,PeopleWithoutEducationWithoutJob,AmountOfMales,AmountOfMalesWithoutJob,AmountOfFemales,AmountOfFemalesWithoutJob,AmountOfPeopleInRegion,AmountOfPeopleInRegionWithoutJob,AmountOf_15-24_PeopleInRegion,AmountOf_15-24_PeopleInRegionWithoutJob,AmountOf_15-64_PeopleInRegion,AmountOf_15-64_PeopleInRegionWithoutJob,AmountOf_25-34_PeopleInRegion,AmountOf_25-34_PeopleInRegionWithoutJob,AmountOf_35-44_PeopleInRegion,AmountOf_35-44_PeopleInRegionWithoutJob,AmountOf_45-54_PeopleInRegion,AmountOf_45-54_PeopleInRegionWithoutJob,AmountOf_55-64_PeopleInRegion,AmountOf_55-64_PeopleInRegionWithoutJob,AmountOf_65+_PeopleInRegion
Београдски регион,2016,913150,737063,68.5,84,420600.0,35900.0,769800.0,72100.0,244100.0,13900.0,667300.0,64300.0,767200.0,57600.0,1434500.0,121900.0,166000.0,16500.0,1129300.0,121300.0,248700.0,40800.0,257399.99999999997,31200.0,216600.0,20100.0,240600.0,12800.0,305200.0
Регион Војводине,2016,446492,203053,61,80.8,268300.0,22100.0,854800.0,79400.0,488800.0,25000.0,777900.0,69700.0,834000.0,56700.0,1611900.0,126500.0,205500.0,24600.0,1269400.0,126300.0,253000.0,39900.0,264700.0,26600.0,261000.0,23900.0,285100.0,11400.0,342500.0
Регион Шумадије и Западне Србије,2016,996565,218684,53.9,78.6,231000.0,27700.0,841700.0,89900.0,604600.0,17900.0,820600.0,71300.0,856700.0,64300.0,1677300.0,135600.0,218400.0,22100.0,1298900.0,135500.0,241600.0,45900.0,261600.00000000003,34000.0,264600.0,21800.0,312700.0,11700.0,378300.0
Регион Јужне и Источне Србије,2016,397384,122626,47,76.3,194100.0,23000.0,632900.0,68000.0,467000.0,14500.0,636500.0,56200.0,657500.0,49200.0,1294000.0,105500.0,166900.0,16900.0,979300.0,105300.0,182900.0,34400.0,199000.0,25700.0,202200.0,19200.0,228300.0,9000.0,314700.0
РЕПУБЛИКА СРБИЈА,2017,3085866,1497173,61.9,80.4,1122700.0,98900.0,3086700.0,274300.0,1775300.0,62000.0,2886400.0,230500.0,3098300.0,204700.0,5984700.0,435200.0,740000.0,72300.0,4618500.0,1537700.0,913000.0,140100.0,985500.0,102800.0,930600.0,75900.0,1049300.0,41800.0,1366200.0
Београдски регион,2017,1035205,863162,72.7,85.3,443400.0,36800.0,755400.0,60500.0,236600.0,9400.0,667300.0,56200.0,768100.0,50500.0,1435400.0,106700.0,162800.0,15000.0,1121900.0,340100.0,244800.0,36100.0,262000.0,25700.0,216600.0,17400.0,235700.0,11000.0,313600.0
Регион Војводине,2017,496625,227600,61.1,81.7,265700.0,19200.0,856700.0,63800.0,480100.0,19100.0,773700.0,55100.0,828900.0,47000.0,1602600.0,102100.0,200600.0,20300.0,1253800.0,434900.0,249300.0,31700.0,266100.0,22700.0,255600.0,17800.0,282300.0,9300.0,348700.0
Регион Шумадије и Западне Србије,2017,1086264,251190,61.5,76.2,225800.0,22400.0,847000.0,84600.0,591900.0,18500.0,814500.0,65700.0,850200.0,59800.0,1664700.0,125500.0,213500.0,20400.0,1279400.0,422100.0,238200.0,41100.0,260200.0,29700.0,259200.0,22000.0,308400.0,11700.0,385300.0
Регион Јужне и Источне Србије,2017,467772,155221,54.6,71.8,187800.0,20500.0,627600.0,65300.0,466700.0,15100.0,630900.0,53500.0,651100.0,47400.0,1282000.0,100800.0,163200.0,16600.0,963400.0,340500.0,180800.0,31100.0,197200.0,24600.0,199200.0,18600.0,223000.0,9800.0,318600.0
РЕПУБЛИКА СРБИЈА,2018,3430522,1710514,72.5,82.6,1149800.0,90200.0,3074900.0,256300.0,1730400.0,65700.0,2872500.0,215400.0,3082600.0,196800.0,5955100.0,412200.0,727100.0,64800.0,4565000.0,411000.0,899900.0,129800.00000000001,986000.0,99600.0,922300.0,71100.0,1029700.0,45700.0,1390100.0
Београдски регион,2018,1160582,971942,82.1,89,455300.0,29700.0,756200.0,50500.0,225200.0,7600.0,667600.0,42700.0,769000.0,45000.0,1436600.0,87700.0,160300.0,10000.0,1115600.0,87000.0,241000.0,30000.0,265900.0,23300.0,217500.0,14000.0,230900.0,9700.0,321000.0
Регион Војводине,2018,538472,259956,70.3,83.2,270000.0,18700.0,845100.0,51400.0,479300.0,18000.0,770100.0,46900.0,824400.0,41200.0,1594500.0,88100.0,197000.0,15000.0,1239800.0,87800.0,245300.0,27800.0,266800.0,19000.0,251900.0,15900.0,278800.0,10200.0,354600.0
Регион Шумадије и Западне Србије,2018,1184051,293864,71.5,75.5,229400.0,22300.0,845000.0,84800.0,578700.0,21000.0,809000.0,66200.0,844100.0,61900.0,1653100.0,128100.0,209700.0,21000.0,1260500.0,128000.0,234600.0,40100.0,258300.0,30000.0,255400.0,21700.0,302400.0,15200.0,392600.0
Регион Јужне и Источне Србије,2018,547417,184752,66,74.5,195100.0,19600.0,628600.0,69600.0,447200.0,19100.0,625900.0,59600.0,645100.0,48600.0,1271000.0,108200.0,160100.0,18800.0,949200.0,108200.0,178900.0,31900.0,195000.0,27300.0,197500.0,19500.0,217700.0,10700.0,321800.0
РЕПУБЛИКА СРБИЈА,2019,3689983,1846551,79.6,83.6,1162600.0,69600.0,3078600.0,208200.0,1682700.0,58100.0,2858000.0,176200.0,3065900.0,159700.0,5923900.0,335900.0,716000.0,58300.0,4504100.0,334700.0,884000.0,100400.0,986300.0,86400.0,918400.0,54600.0,999400.0,34900.0,1419800.0
Београдски регион,2019,1258348,1056578,89,84,472500.0,20300.0,742100.0,39400.0,222900.0,6700.0,667800.0,30400.0,769700.0,36000.0,1437500.0,66400.0,158700.0,9800.0,1108100.0,65800.0,236100.0,19900.0,269600.0,18400.0,219400.0,10900.0,224300.0,6900.0,329400.0
Регион Војводине,2019,561657,274238,81.7,91,264100.0,13200.0,859100.0,44100.0,463100.0,19000.0,766400.0,41700.0,819900.0,34600.0,1586300.0,76300.0,194000.0,14600.0,1224400.0,75700.0,240800.0,19200.0,267600.0,20500.0,249400.0,12000.0,272700.0,9400.0,361800.0
Регион Шумадије и Западне Србије,2019,1259685,309396,75,78.9,235900.0,19900.0,848100.0,70100.0,556700.0,16000.0,803100.0,56500.0,837600.0,49500.0,1640700.0,106000.0,206500.0,19500.0,1238400.0,106000.0,230300.0,32299.999999999996,256399.99999999997,25300.0,252800.0,18900.0,292500.0,10100.0,402300.0
Регион Јужне и Источне Србије,2019,610293,206339,71.1,75.4,190100.0,16200.0,629300.0,54600.0,440000.0,16500.0,620700.0,47600.0,638700.0,39600.0,1259400.0,87200.0,156800.0,14400.0,933200.0,87100.0,176800.0,29000.0,192700.0,22200.0,196900.0,12800.0,210000.0,8500.0,326300.0
РЕПУБЛИКА СРБИЈА,2020,1820021,445711,80.8,84.4,1174700.0,65600.0,3095500.0,177500.0,1624000.0,43500.0,2843900.0,153000.0,3050200.0,133500.0,5894200.0,286600.0,705300.0,53200.0,4445100.0,285800.0,866000.0,88400.0,985900.0,67800.0,919000.0,48400.0,968900.0,28000.0,1449000.0
Београдски регион,2020,330897,229264,93.9,89.5,470700.0,19200.0,743900.0,34400.0,224300.0,6100.0,668300.0,32100.0,770600.0,27600.0,1438900.0,59700.0,157500.0,10700.0,1101300.0,59300.0,230800.0,17500.0,272700.0,16100.000000000002,222700.0,9700.0,217600.0,5300.0,337600.0
Регион Војводине,2020,268805,71337,74.7,86.3,266100.0,10000.0,866700.0,40800.0,446000.0,12100.0,763000.0,37000.0,815800.0,25800.0,1578800.0,62900.0,190900.0,13100.0,1209300.0,62700.0,235600.0,17800.0,268600.0,12800.0,248200.0,11100.0,266100.0,7800.0,369500.0
Регион Шумадије и Западне Србије,2020,824358,88455,77.5,75.5,243100.0,21900.0,851600.0,56300.0,534200.0,11400.0,797400.0,43900.0,831400.0,45600.0,1628900.0,89600.0,203700.0,15600.0,1217300.0,89500.0,225300.0,29400.0,254300.0,19900.0,251700.0,16300.0,282400.0,8300.0,411600.0
Регион Јужне и Источне Србије,2020,395961,56655,77.3,80.5,194700.0,14500.0,633400.0,46000.0,419400.0,13900.0,615100.0,40000.0,632400.0,34400.0,1247500.0,74400.0,153300.0,13700.0,917200.0,74400.0,174400.0,23700.0,190300.0,19000.0,196500.0,11300.0,202700.0,6600.0,330300.0
